snapshot,prefix_length,full_length,fraction,cid,cid_normalized,compression_gain,n_particles_total,box_length,nbins,snapshot_num
snapshot_1.xyz,2048,32768,0.0625,0.0962702,0.8100756472934425,0.1899243527065575,4000,16.757672110741936,32,1
snapshot_1.xyz,4096,32768,0.125,0.0897619,0.8142259755809945,0.18577402441900548,4000,16.757672110741936,32,1
snapshot_1.xyz,8192,32768,0.25,0.0825949,0.7673823769882562,0.23261762301174382,4000,16.757672110741936,32,1
snapshot_1.xyz,12000,32768,0.3662109375,0.0788542,0.7436058957215469,0.2563941042784531,4000,16.757672110741936,32,1
snapshot_1.xyz,16384,32768,0.5,0.0755572,0.7310100619195047,0.2689899380804953,4000,16.757672110741936,32,1
snapshot_1.xyz,20000,32768,0.6103515625,0.0733327,0.7184901778278547,0.28150982217214526,4000,16.757672110741936,32,1
snapshot_1.xyz,24576,32768,0.75,0.0711352,0.7017035758323057,0.2982964241676943,4000,16.757672110741936,32,1
snapshot_1.xyz,28000,32768,0.8544921875,0.0697605,0.6911770534033489,0.3088229465966511,4000,16.757672110741936,32,1
snapshot_1.xyz,32768,32768,1.0,0.0685886,0.6827589639451312,0.31724103605486875,4000,16.757672110741936,32,1
snapshot_2.xyz,2048,32768,0.0625,0.0928768,0.8596360674552489,0.1403639325447511,4000,16.757672110741936,32,2
snapshot_2.xyz,4096,32768,0.125,0.0888409,0.8331463993322892,0.16685360066771082,4000,16.757672110741936,32,2
snapshot_2.xyz,8192,32768,0.25,0.0793544,0.7739702913322085,0.22602970866779148,4000,16.757672110741936,32,2
snapshot_2.xyz,12000,32768,0.3662109375,0.0756652,0.7424926648807246,0.25750733511927537,4000,16.757672110741936,32,2
snapshot_2.xyz,16384,32768,0.5,0.0723413,0.7331670544929745,0.2668329455070255,4000,16.757672110741936,32,2
snapshot_2.xyz,20000,32768,0.6103515625,0.0696352,0.7110566515541396,0.28894334844586045,4000,16.757672110741936,32,2
snapshot_2.xyz,24576,32768,0.75,0.0679722,0.6971750809771827,0.3028249190228173,4000,16.757672110741936,32,2
snapshot_2.xyz,28000,32768,0.8544921875,0.0667837,0.6890280579213718,0.3109719420786282,4000,16.757672110741936,32,2
snapshot_2.xyz,32768,32768,1.0,0.0654337,0.685470379150643,0.314529620849357,4000,16.757672110741936,32,2
snapshot_3.xyz,2048,32768,0.0625,0.0979617,0.886170337871455,0.11382966212854495,4000,16.757672110741936,32,3
snapshot_3.xyz,4096,32768,0.125,0.0869959,0.8089932673709269,0.19100673262907308,4000,16.757672110741936,32,3
snapshot_3.xyz,8192,32768,0.25,0.0825949,0.7961261157056657,0.20387388429433428,4000,16.757672110741936,32,3
snapshot_3.xyz,12000,32768,0.3662109375,0.0792078,0.7617819325427738,0.23821806745722618,4000,16.757672110741936,32,3
snapshot_3.xyz,16384,32768,0.5,0.0755572,0.7460376389739134,0.2539623610260866,4000,16.757672110741936,32,3
snapshot_3.xyz,20000,32768,0.6103515625,0.0733327,0.7405757554947829,0.25942424450521706,4000,16.757672110741936,32,3
snapshot_3.xyz,24576,32768,0.75,0.0711352,0.7242494339192336,0.2757505660807664,4000,16.757672110741936,32,3
snapshot_3.xyz,28000,32768,0.8544921875,0.0696779,0.713572939122242,0.28642706087775804,4000,16.757672110741936,32,3
snapshot_3.xyz,32768,32768,1.0,0.0678726,0.6983007671034438,0.3016992328965562,4000,16.757672110741936,32,3
snapshot_4.xyz,2048,32768,0.0625,0.0937265,0.8742572779762516,0.12574272202374837,4000,16.757672110741936,32,4
snapshot_4.xyz,4096,32768,0.125,0.0846839,0.8078751800654437,0.19212481993455632,4000,16.757672110741936,32,4
snapshot_4.xyz,8192,32768,0.25,0.0798538,0.7825658313815035,0.21743416861849652,4000,16.757672110741936,32,4
snapshot_4.xyz,12000,32768,0.3662109375,0.077084,0.7707937523748575,0.22920624762514252,4000,16.757672110741936,32,4
snapshot_4.xyz,16384,32768,0.5,0.0735487,0.742457188081711,0.257542811918289,4000,16.757672110741936,32,4
snapshot_4.xyz,20000,32768,0.6103515625,0.0712059,0.7295312740126019,0.27046872598739813,4000,16.757672110741936,32,4
snapshot_4.xyz,24576,32768,0.75,0.0696483,0.7156929134910123,0.2843070865089877,4000,16.757672110741936,32,4
snapshot_4.xyz,28000,32768,0.8544921875,0.0686041,0.7125307559125613,0.2874692440874387,4000,16.757672110741936,32,4
snapshot_4.xyz,32768,32768,1.0,0.0672994,0.6983975110675718,0.30160248893242825,4000,16.757672110741936,32,4
snapshot_5.xyz,2048,32768,0.0625,0.0945752,0.8366451110658965,0.16335488893410355,4000,16.757672110741936,32,5
snapshot_5.xyz,4096,32768,0.125,0.0856095,0.7927686409601067,0.20723135903989331,4000,16.757672110741936,32,5
snapshot_5.xyz,8192,32768,0.25,0.0793544,0.7648911765272878,0.23510882347271223,4000,16.757672110741936,32,5
snapshot_5.xyz,12000,32768,0.3662109375,0.0754877,0.7535281845496561,0.2464718154503439,4000,16.757672110741936,32,5
snapshot_5.xyz,16384,32768,0.5,0.0720727,0.7209115533576596,0.27908844664234045,4000,16.757672110741936,32,5
snapshot_5.xyz,20000,32768,0.6103515625,0.0696352,0.7110566515541396,0.28894334844586045,4000,16.757672110741936,32,5
snapshot_5.xyz,24576,32768,0.75,0.067879,0.6936479388501706,0.3063520611498294,4000,16.757672110741936,32,5
snapshot_5.xyz,28000,32768,0.8544921875,0.0673633,0.6898690685278018,0.31013093147219817,4000,16.757672110741936,32,5
snapshot_5.xyz,32768,32768,1.0,0.0659365,0.6822850000051738,0.3177149999948262,4000,16.757672110741936,32,5
snapshot_6.xyz,2048,32768,0.0625,0.0894692,0.8154914685722618,0.18450853142773815,4000,16.757672110741936,32,6
snapshot_6.xyz,4096,32768,0.125,0.0860719,0.8355602799701003,0.1644397200298997,4000,16.757672110741936,32,6
snapshot_6.xyz,8192,32768,0.25,0.0781047,0.7690952596648089,0.23090474033519115,4000,16.757672110741936,32,6
snapshot_6.xyz,12000,32768,0.3662109375,0.0740661,0.7510129626775472,0.24898703732245275,4000,16.757672110741936,32,6
snapshot_6.xyz,16384,32768,0.5,0.0715354,0.7288575437123588,0.2711424562876412,4000,16.757672110741936,32,6
snapshot_6.xyz,20000,32768,0.6103515625,0.0707574,0.7225156230854062,0.2774843769145938,4000,16.757672110741936,32,6
snapshot_6.xyz,24576,32768,0.75,0.0696483,0.7183614152632578,0.2816385847367422,4000,16.757672110741936,32,6
snapshot_6.xyz,28000,32768,0.8544921875,0.0680253,0.7030021495597536,0.2969978504402464,4000,16.757672110741936,32,6
snapshot_6.xyz,32768,32768,1.0,0.066941,0.6916843098294374,0.3083156901705626,4000,16.757672110741936,32,6
snapshot_7.xyz,2048,32768,0.0625,0.0894692,0.8217456395749332,0.17825436042506682,4000,16.757672110741936,32,7
snapshot_7.xyz,4096,32768,0.125,0.0837572,0.7990345630252903,0.2009654369747097,4000,16.757672110741936,32,7
snapshot_7.xyz,8192,32768,0.25,0.0750976,0.7521388065949959,0.24786119340500412,4000,16.757672110741936,32,7
snapshot_7.xyz,12000,32768,0.3662109375,0.072642,0.7301650163689564,0.26983498363104363,4000,16.757672110741936,32,7
snapshot_7.xyz,16384,32768,0.5,0.0701903,0.7151526328284119,0.2848473671715881,4000,16.757672110741936,32,7
snapshot_7.xyz,20000,32768,0.6103515625,0.0691859,0.7120169107605416,0.28798308923945837,4000,16.757672110741936,32,7
snapshot_7.xyz,24576,32768,0.75,0.0672261,0.6933785367141666,0.3066214632858334,4000,16.757672110741936,32,7
snapshot_7.xyz,28000,32768,0.8544921875,0.0664522,0.6827816291072143,0.3172183708927857,4000,16.757672110741936,32,7
snapshot_7.xyz,32768,32768,1.0,0.06529,0.6736567105659583,0.3263432894340417,4000,16.757672110741936,32,7
snapshot_8.xyz,2048,32768,0.0625,0.0928768,0.8465509698118711,0.15344903018812894,4000,16.757672110741936,32,8
snapshot_8.xyz,4096,32768,0.125,0.086534,0.8115123835960725,0.18848761640392753,4000,16.757672110741936,32,8
snapshot_8.xyz,8192,32768,0.25,0.0786048,0.7648464562332152,0.23515354376678477,4000,16.757672110741936,32,8
snapshot_8.xyz,12000,32768,0.3662109375,0.0747772,0.7413151450862984,0.25868485491370163,4000,16.757672110741936,32,8
snapshot_8.xyz,16384,32768,0.5,0.0719384,0.7242932597143438,0.2757067402856562,4000,16.757672110741936,32,8
snapshot_8.xyz,20000,32768,0.6103515625,0.0700843,0.7140537076451429,0.28594629235485713,4000,16.757672110741936,32,8
snapshot_8.xyz,24576,32768,0.75,0.0682518,0.6968145439992323,0.30318545600076774,4000,16.757672110741936,32,8
snapshot_8.xyz,28000,32768,0.8544921875,0.0675289,0.6955647113354277,0.30443528866457226,4000,16.757672110741936,32,8
snapshot_8.xyz,32768,32768,1.0,0.0662954,0.6859987562176185,0.3140012437823815,4000,16.757672110741936,32,8
snapshot_9.xyz,2048,32768,0.0625,0.088615,0.8396899548008679,0.16031004519913206,4000,16.757672110741936,32,9
snapshot_9.xyz,4096,32768,0.125,0.0851468,0.7917980955214997,0.2082019044785003,4000,16.757672110741936,32,9
snapshot_9.xyz,8192,32768,0.25,0.0781047,0.7746791374898336,0.22532086251016636,4000,16.757672110741936,32,9
snapshot_9.xyz,12000,32768,0.3662109375,0.0745995,0.7395534891098532,0.2604465108901468,4000,16.757672110741936,32,9
snapshot_9.xyz,16384,32768,0.5,0.0712665,0.7261177841876444,0.2738822158123556,4000,16.757672110741936,32,9
snapshot_9.xyz,20000,32768,0.6103515625,0.0694106,0.7095529681158829,0.29044703188411714,4000,16.757672110741936,32,9
snapshot_9.xyz,24576,32768,0.75,0.067506,0.6969152626362735,0.30308473736372654,4000,16.757672110741936,32,9
snapshot_9.xyz,28000,32768,0.8544921875,0.0667008,0.6910345813592809,0.30896541864071914,4000,16.757672110741936,32,9
snapshot_9.xyz,32768,32768,1.0,0.065721,0.6830036321688568,0.31699636783114316,4000,16.757672110741936,32,9
snapshot_10.xyz,2048,32768,0.0625,0.0962702,0.8774810412716931,0.12251895872830687,4000,16.757672110741936,32,10
snapshot_10.xyz,4096,32768,0.125,0.0860719,0.8211165488490122,0.1788834511509878,4000,16.757672110741936,32,10
snapshot_10.xyz,8192,32768,0.25,0.0788548,0.7727756490038318,0.22722435099616822,4000,16.757672110741936,32,10
snapshot_10.xyz,12000,32768,0.3662109375,0.0747772,0.7425887306599933,0.2574112693400067,4000,16.757672110741936,32,10
snapshot_10.xyz,16384,32768,0.5,0.0730123,0.7458911386715159,0.2541088613284841,4000,16.757672110741936,32,10
snapshot_10.xyz,20000,32768,0.6103515625,0.0701965,0.7144034789723882,0.2855965210276118,4000,16.757672110741936,32,10
snapshot_10.xyz,24576,32768,0.75,0.0684381,0.6980730038984645,0.3019269961015355,4000,16.757672110741936,32,10
snapshot_10.xyz,28000,32768,0.8544921875,0.0675289,0.6984517555699669,0.30154824443003314,4000,16.757672110741936,32,10
snapshot_10.xyz,32768,32768,1.0,0.0660083,0.6869832012097711,0.3130167987902289,4000,16.757672110741936,32,10
snapshot_11.xyz,2048,32768,0.0625,0.0928768,0.8401718757067257,0.1598281242932743,4000,16.757672110741936,32,11
snapshot_11.xyz,4096,32768,0.125,0.0856095,0.7862016714115162,0.2137983285884838,4000,16.757672110741936,32,11
snapshot_11.xyz,8192,32768,0.25,0.0788548,0.7600755691785708,0.23992443082142922,4000,16.757672110741936,32,11
snapshot_11.xyz,12000,32768,0.3662109375,0.0754877,0.7296317417359367,0.2703682582640633,4000,16.757672110741936,32,11
snapshot_11.xyz,16384,32768,0.5,0.0726098,0.7197141356170765,0.28028586438292347,4000,16.757672110741936,32,11
snapshot_11.xyz,20000,32768,0.6103515625,0.0698598,0.7031848749392287,0.29681512506077135,4000,16.757672110741936,32,11
snapshot_11.xyz,24576,32768,0.75,0.0684381,0.6942370838798422,0.3057629161201578,4000,16.757672110741936,32,11
