cid,cid_shuffled,cid_shuffled_std,cid_normalized,compression_gain,snapshot,nbins,n_particles_total,box_length,n_particles_filtered,atom_types,snapshot_num
0.217755,0.266397,0.0,0.8174078536920462,0.18259214630795384,snapshot_1.xyz,16,4000,16.796962,4000,all,1
0.20309,0.257823,0.0,0.7877109489843807,0.21228905101561935,snapshot_2.xyz,16,4000,16.796962,4000,all,2
0.21274,0.263135,0.0,0.8084823379634029,0.19151766203659715,snapshot_3.xyz,16,4000,16.796962,4000,all,3
0.206453,0.259459,0.0,0.7957056798954748,0.2042943201045252,snapshot_4.xyz,16,4000,16.796962,4000,all,4
0.20897,0.265582,0.0,0.7868379634161954,0.21316203658380461,snapshot_5.xyz,16,4000,16.796962,4000,all,5
0.212322,0.261093,0.0,0.8132044903540118,0.18679550964598823,snapshot_6.xyz,16,4000,16.796962,4000,all,6
0.20897,0.258232,0.0,0.8092335574212335,0.19076644257876652,snapshot_7.xyz,16,4000,16.796962,4000,all,7
0.211066,0.261502,0.0,0.8071295821829279,0.19287041781707215,snapshot_8.xyz,16,4000,16.796962,4000,all,8
0.21274,0.260685,0.0,0.8160807104359669,0.18391928956403314,snapshot_9.xyz,16,4000,16.796962,4000,all,9
0.208551,0.260685,0.0,0.8000115081420104,0.19998849185798961,snapshot_10.xyz,16,4000,16.796962,4000,all,10
0.210228,0.261502,0.0,0.8039250177818907,0.19607498221810926,snapshot_11.xyz,16,4000,16.796962,4000,all,11
0.211485,0.264359,0.0,0.7999916779833484,0.20000832201665164,snapshot_12.xyz,16,4000,16.796962,4000,all,12
0.210647,0.26191,0.0,0.8042724600053455,0.19572753999465453,snapshot_13.xyz,16,4000,16.796962,4000,all,13
0.203511,0.262319,0.0,0.7758149428748965,0.2241850571251035,snapshot_14.xyz,16,4000,16.796962,4000,all,14
0.210228,0.264359,0.0,0.7952367802874122,0.20476321971258782,snapshot_15.xyz,16,4000,16.796962,4000,all,15
0.206873,0.258232,0.0,0.8011129526937018,0.19888704730629825,snapshot_16.xyz,16,4000,16.796962,4000,all,16
0.208132,0.256596,0.0,0.8111272194422361,0.1888727805577639,snapshot_17.xyz,16,4000,16.796962,4000,all,17
0.213159,0.259459,0.0,0.8215517673312546,0.17844823266874543,snapshot_18.xyz,16,4000,16.796962,4000,all,18
0.215667,0.263543,0.0,0.8183370455675164,0.1816629544324836,snapshot_19.xyz,16,4000,16.796962,4000,all,19
0.211903,0.260276,0.0,0.8141472898000585,0.18585271019994154,snapshot_20.xyz,16,4000,16.796962,4000,all,20
0.21274,0.261093,0.0,0.8148054524632985,0.1851945475367015,snapshot_21.xyz,16,4000,16.796962,4000,all,21
0.211066,0.26191,0.0,0.8058722461914399,0.19412775380856007,snapshot_22.xyz,16,4000,16.796962,4000,all,22
0.208551,0.261502,0.0,0.7975120649172854,0.20248793508271457,snapshot_23.xyz,16,4000,16.796962,4000,all,23
