snapshot,snapshot_num,nbins_sub,n_tiles,cid_mean,cid_std,cid_min,cid_max,sequence_length
snapshot_1.xyz,1,8,64,0.8973649050958481,0.04066636165523353,0.788713491820474,1.0,512
snapshot_1.xyz,1,16,8,0.8186695413855452,0.02298887968569944,0.779749706260076,0.8496565341169988,4096
snapshot_1.xyz,1,32,1,0.6762294435461608,0.0,0.6762294435461608,0.6762294435461608,32768
snapshot_2.xyz,2,8,64,0.8966488954185736,0.042466372249605894,0.7974807970341413,1.0,512
snapshot_2.xyz,2,16,8,0.7998872947127136,0.01840478570830582,0.7735466773053689,0.8291079812206572,4096
snapshot_2.xyz,2,32,1,0.6869730276233001,0.0,0.6869730276233001,0.6869730276233001,32768
snapshot_3.xyz,3,8,64,0.8971435362290356,0.04037570392462711,0.8003187332173861,1.0,512
snapshot_3.xyz,3,16,8,0.81826002512503,0.010538892465475258,0.7980597872951998,0.8323532458726138,4096
snapshot_3.xyz,3,32,1,0.7028244445548985,0.0,0.7028244445548985,0.7028244445548985,32768
snapshot_4.xyz,4,8,64,0.9049266085743173,0.04091470610202769,0.8284315785051048,1.0,512
snapshot_4.xyz,4,16,8,0.8143527848708134,0.01202292779400567,0.7914140167000485,0.8347148861776521,4096
snapshot_4.xyz,4,32,1,0.6994071094898855,0.0,0.6994071094898855,0.6994071094898855,32768
snapshot_5.xyz,5,8,64,0.9102684786695402,0.050801950039545275,0.798473313355471,1.0430824667319911,512
snapshot_5.xyz,5,16,8,0.8060195497637502,0.0143488846483332,0.7864919128908147,0.8255249325052708,4096
snapshot_5.xyz,5,32,1,0.6813050670750167,0.0,0.6813050670750167,0.6813050670750167,32768
snapshot_6.xyz,6,8,64,0.9041302094040566,0.04585337110155818,0.8163948542456927,1.0,512
snapshot_6.xyz,6,16,8,0.8128692810289301,0.014515359786746247,0.7989337863899348,0.8402778828692494,4096
snapshot_6.xyz,6,32,1,0.699221300131089,0.0,0.699221300131089,0.699221300131089,32768
snapshot_7.xyz,7,8,64,0.891949899356982,0.04733193889187806,0.7849139284592767,1.0,512
snapshot_7.xyz,7,16,8,0.8149996271646596,0.016917714804967652,0.7834206643462469,0.8482516575915843,4096
snapshot_7.xyz,7,32,1,0.6795074741659147,0.0,0.6795074741659147,0.6795074741659147,32768
snapshot_8.xyz,8,8,64,0.8947621419066866,0.04722241038408797,0.7748249983297826,1.0441728791929505,512
snapshot_8.xyz,8,16,8,0.8124953807375376,0.011305273507807254,0.7979970305886259,0.8323532458726138,4096
snapshot_8.xyz,8,32,1,0.686987573263034,0.0,0.686987573263034,0.686987573263034,32768
snapshot_9.xyz,9,8,64,0.904398664121075,0.04289828238913238,0.7941493858642233,1.0221227859040942,512
snapshot_9.xyz,9,16,8,0.8203915332222467,0.014862640911668628,0.795199834446024,0.847532507178768,4096
snapshot_9.xyz,9,32,1,0.6889824245060987,0.0,0.6889824245060987,0.6889824245060987,32768
snapshot_10.xyz,10,8,64,0.9023383863194686,0.03858206975320373,0.8047903165948215,0.9783560388153113,512
snapshot_10.xyz,10,16,8,0.8164730244404335,0.02788488351119335,0.7839613447368182,0.868213093141642,4096
snapshot_10.xyz,10,32,1,0.6854942726885651,0.0,0.6854942726885651,0.6854942726885651,32768
snapshot_11.xyz,11,8,64,0.8951266546750378,0.04520297914801945,0.7956470422305197,1.0441728791929505,512
snapshot_11.xyz,11,16,8,0.818738125172352,0.013729577701616919,0.8028424596513275,0.8497009822849663,4096
snapshot_11.xyz,11,32,1,0.6807990836159092,0.0,0.6807990836159092,0.6807990836159092,32768
snapshot_12.xyz,12,8,64,0.8953609984742414,0.04141406823471852,0.8047903165948215,0.9772265450760766,512
snapshot_12.xyz,12,16,8,0.7999638340731824,0.011178370137440571,0.7766642997445569,0.813466498870949,4096
snapshot_12.xyz,12,32,1,0.6820469581947455,0.0,0.6820469581947455,0.6820469581947455,32768
snapshot_13.xyz,13,8,64,0.8995709158629379,0.043886103364899405,0.8246024722372892,1.022690852620971,512
snapshot_13.xyz,13,16,8,0.8220613170682447,0.026018858195081932,0.7778332897538381,0.8512110759796876,4096
snapshot_13.xyz,13,32,1,0.6966903021617475,0.0,0.6966903021617475,0.6966903021617475,32768
snapshot_14.xyz,14,8,64,0.8922647147027887,0.04677281871535954,0.7694090909090908,1.0,512
snapshot_14.xyz,14,16,8,0.8064187713382156,0.011210174000899653,0.7829588169122288,0.81758330483681,4096
snapshot_14.xyz,14,32,1,0.6887250543139695,0.0,0.6887250543139695,0.6887250543139695,32768
snapshot_15.xyz,15,8,64,0.9062822999279725,0.041983071868817515,0.8163948542456927,1.0210553999907177,512
snapshot_15.xyz,15,16,8,0.8117743222751548,0.021458485695658083,0.7680136992835541,0.8445301958043315,4096
snapshot_15.xyz,15,32,1,0.6842364182887732,0.0,0.6842364182887732,0.6842364182887732,32768
snapshot_16.xyz,16,8,64,0.8986764613699592,0.033528258099989536,0.8163948542456927,0.9798608894464529,512
snapshot_16.xyz,16,16,8,0.8040203802600099,0.017406085292739532,0.7735002428000448,0.8218652358280018,4096
snapshot_16.xyz,16,32,1,0.6815420418105416,0.0,0.6815420418105416,0.6815420418105416,32768
snapshot_17.xyz,17,8,64,0.8905070242833949,0.04438279905031937,0.7798115601630626,1.0,512
snapshot_17.xyz,17,16,8,0.8042975550583875,0.010681926215125703,0.7862016714115162,0.81758330483681,4096
snapshot_17.xyz,17,32,1,0.6852489990366278,0.0,0.6852489990366278,0.6852489990366278,32768
snapshot_18.xyz,18,8,64,0.8970630186241604,0.05221196764027422,0.7896306877862276,1.022690852620971,512
snapshot_18.xyz,18,16,8,0.8190277253137042,0.019062702888305177,0.7898183489163767,0.852634028648505,4096
snapshot_18.xyz,18,32,1,0.6842619745845553,0.0,0.6842619745845553,0.6842619745845553,32768
snapshot_19.xyz,19,8,64,0.9015927041474385,0.04684779399746539,0.8205852174735662,1.0,512
snapshot_19.xyz,19,16,8,0.8151033973858149,0.007739989525022114,0.8046979616128552,0.8269585509501055,4096
snapshot_19.xyz,19,32,1,0.6857590039210916,0.0,0.6857590039210916,0.6857590039210916,32768
snapshot_20.xyz,20,8,64,0.901695745849172,0.04449837434949167,0.8026280895300733,1.0205530303030304,512
snapshot_20.xyz,20,16,8,0.8090893227623445,0.02308739808656534,0.7702281628607446,0.8570053953417683,4096
snapshot_20.xyz,20,32,1,0.6805631759552881,0.0,0.6805631759552881,0.6805631759552881,32768
snapshot_21.xyz,21,8,64,0.898675534509262,0.04120405340893469,0.8205852174735662,1.0,512
snapshot_21.xyz,21,16,8,0.8132021068762187,0.021124659789578865,0.7765597503673736,0.840487278562141,4096
snapshot_21.xyz,21,32,1,0.6775945782018337,0.0,0.6775945782018337,0.6775945782018337,32768
snapshot_22.xyz,22,8,64,0.9034765535363042,0.040152029031172175,0.8163948542456927,0.9798608894464529,512
snapshot_22.xyz,22,16,8,0.7988443194169481,0.01285528310804919,0.7692227080547827,0.8175764395179288,4096
snapshot_22.xyz,22,32,1,0.680092687038033,0.0,0.680092687038033,0.680092687038033,32768
snapshot_23.xyz,23,8,64,0.8949814865008074,0.05290932974022616,0.7505566992983489,1.022690852620971,512
snapshot_23.xyz,23,16,8,0.8204533062370036,0.011904368388966573,0.8071788283176878,0.8410318230191842,4096
snapshot_23.xyz,23,32,1,0.6874881379475904,0.0,0.6874881379475904,0.6874881379475904,32768
snapshot_24.xyz,24,8,64,0.9053818139403209,0.04734313958564189,0.8090696469336023,1.019626107015769,512
snapshot_24.xyz,24,16,8,0.8099402534283409,0.025700536237662174,0.7658406476997578,0.8490122414111113,4096
snapshot_24.xyz,24,32,1,0.6862388750999553,0.0,0.6862388750999553,0.6862388750999553,32768
snapshot_25.xyz,25,8,64,0.9007658895134081,0.03964901354861011,0.8119999999999999,1.0,512
snapshot_25.xyz,25,16,8,0.8181935168045119,0.017892124613812267,0.7908174890739981,0.8576914346246973,4096
snapshot_25.xyz,25,32,1,0.6812726099129746,0.0,0.6812726099129746,0.6812726099129746,32768
snapshot_26.xyz,26,8,64,0.9043267868462712,0.04527650737269978,0.7649661708869794,1.0215728419255936,512
snapshot_26.xyz,26,16,8,0.7993167271304134,0.018813680837789844,0.7713191427348326,0.8351276644249401,4096
snapshot_26.xyz,26,32,1,0.6785903460324443,0.0,0.6785903460324443,0.6785903460324443,32768
snapshot_27.xyz,27,8,64,0.8920300061224176,0.04310628147397636,0.7750689055529971,0.9788827178638283,512
snapshot_27.xyz,27,16,8,0.8147850931265517,0.015261753349017516,0.7979970305886259,0.839508529959345,4096
snapshot_27.xyz,27,32,1,0.6921711783472351,0.0,0.6921711783472351,0.6921711783472351,32768
