# snapshot_num shannon_8 shannon_16 shannon_32 shannon_64
1 4.014399 5.824435 7.628202 8.293800
2 4.015850 5.818523 7.616297 8.252967
3 4.017154 5.821488 7.625401 8.266164
4 4.015845 5.818750 7.619981 8.252185
5 4.014333 5.820215 7.624500 8.259717
6 4.016025 5.820257 7.621282 8.255309
7 4.013958 5.819337 7.622948 8.257126
8 4.014203 5.819690 7.622229 8.259458
9 4.016549 5.819243 7.625105 8.256348
10 4.014745 5.820085 7.621266 8.255049
11 4.015790 5.820466 7.618882 8.264363
12 4.014425 5.821140 7.619580 8.263075
13 4.015268 5.819778 7.622399 8.258163
14 4.016147 5.820182 7.622399 8.258163
15 4.015216 5.819384 7.621233 8.254009
16 4.015784 5.819479 7.620939 8.256088
17 4.015008 5.819700 7.619266 8.256867
18 4.014922 5.820248 7.625241 8.259976
19 4.015287 5.819590 7.620813 8.261268
20 4.016137 5.820073 7.622790 8.261526
21 4.014977 5.821954 7.623647 8.267192
22 4.015647 5.819761 7.622582 8.259976
23 4.014017 5.819716 7.619054 8.257126
24 4.015431 5.819642 7.622106 8.254789
25 4.014735 5.819030 7.624139 8.257386
26 4.015863 5.820053 7.620859 8.257645
27 4.014400 5.820816 7.621379 8.259717
28 4.017384 5.819942 7.622372 8.257126
29 4.014518 5.820088 7.620310 8.264363
30 4.015918 5.820297 7.622565 8.262559
31 4.017734 5.819324 7.621516 8.258940
32 4.012622 5.820710 7.625104 8.258163
33 4.015954 5.820423 7.621582 8.257904
34 4.015147 5.818388 7.623011 8.259717
35 4.014750 5.819357 7.621267 8.252707
36 4.015974 5.820566 7.623061 8.256348
37 4.015708 5.819326 7.622193 8.254009
38 4.015998 5.821407 7.623656 8.262817
39 4.015880 5.820676 7.620806 8.263333
40 4.015059 5.819747 7.621521 8.263333
41 4.017008 5.819919 7.620368 8.255049
42 4.016169 5.819439 7.619322 8.252446
43 4.014521 5.818762 7.621341 8.257126
44 4.015177 5.818598 7.620206 8.254009
45 4.014847 5.820020 7.624118 8.259458
46 4.016845 5.819974 7.622546 8.255828
47 4.015955 5.820587 7.620181 8.261785
48 4.015340 5.820947 7.621426 8.262301
49 4.015662 5.820693 7.620909 8.256867
50 4.014981 5.820001 7.619928 8.260234
51 4.015318 5.819487 7.621913 8.254529
52 4.016555 5.817782 7.621871 8.255049
53 4.014612 5.820502 7.621701 8.259458
54 4.013082 5.820092 7.623829 8.255828
55 4.015942 5.819893 7.619165 8.256867
56 4.016178 5.820538 7.622398 8.262301
57 4.016788 5.820364 7.621304 8.259976
58 4.015759 5.819886 7.621311 8.259199
59 4.015013 5.820363 7.620970 8.263075
60 4.013583 5.820583 7.617431 8.261785
61 4.016169 5.818643 7.621337 8.255309
62 4.014943 5.818840 7.621199 8.254009
63 4.015684 5.819676 7.621863 8.257645
64 4.015510 5.820027 7.625044 8.256348
65 4.015032 5.821062 7.621860 8.260493
66 4.015538 5.820060 7.621937 8.261785
67 4.016529 5.820784 7.622437 8.262559
68 4.015581 5.820195 7.621857 8.258163
69 4.015739 5.820301 7.622426 8.264106
70 4.013935 5.818317 7.618793 8.256088
71 4.013598 5.818114 7.621574 8.251142
72 4.015245 5.820067 7.619287 8.254529
73 4.015389 5.819541 7.621767 8.258422
74 4.016939 5.821331 7.624540 8.264363
75 4.014677 5.819316 7.619666 8.259976
76 4.013868 5.819922 7.619032 8.260751
77 4.016385 5.819634 7.622643 8.257645
78 4.016071 5.820591 7.622846 8.264878
79 4.017070 5.819221 7.621414 8.259717
80 4.014181 5.819369 7.617522 8.256867
81 4.013533 5.818710 7.621938 8.252967
82 4.015075 5.818146 7.620835 8.256867
83 4.015015 5.820247 7.622403 8.261010
84 4.017133 5.819117 7.619718 8.258681
85 4.016626 5.819903 7.620397 8.259976
86 4.014324 5.819920 7.623290 8.263075
87 4.016060 5.821330 7.621332 8.262301
88 4.016689 5.820161 7.619548 8.257904
89 4.015252 5.820826 7.622484 8.261010
90 4.014365 5.819327 7.622018 8.254789
91 4.013315 5.818239 7.619029 8.255049
92 4.014303 5.820560 7.622254 8.261010
93 4.016952 5.820508 7.623187 8.256088
94 4.016843 5.820126 7.618070 8.259976
95 4.015587 5.820700 7.621518 8.259458
96 4.014411 5.820420 7.623652 8.263333
97 4.014247 5.819228 7.621962 8.260493
98 4.015996 5.820484 7.621569 8.261268
99 4.016207 5.820396 7.623423 8.258681
100 4.014801 5.818714 7.619733 8.253748
101 4.014413 5.819011 7.621613 8.257645
102 4.013728 5.819643 7.618868 8.254269
103 4.015116 5.818554 7.619508 8.254269
104 4.016165 5.820193 7.620168 8.255309
105 4.017333 5.820373 7.620626 8.257904
106 4.014613 5.819406 7.621407 8.256088
107 4.014259 5.820845 7.625128 8.258681
108 4.015389 5.820204 7.621244 8.255569
109 4.014339 5.820614 7.625448 8.255309
110 4.017503 5.821116 7.620904 8.256607
111 4.015860 5.819258 7.619572 8.261785
112 4.014019 5.818838 7.625677 8.255049
113 4.016075 5.819784 7.621383 8.254789
114 4.016293 5.819695 7.627753 8.254269
115 4.006709 5.821421 7.619893 8.290293
116 4.009489 5.824329 7.625571 8.287277
117 4.018035 5.821882 7.626915 8.275886
118 4.018287 5.822965 7.640487 8.293049
119 4.018620 5.821924 7.631933 8.275122
120 4.017011 5.823534 7.636641 8.288534
121 4.018614 5.820621 7.636813 8.267449
122 4.013711 5.820274 7.624115 8.278936
123 4.011428 5.820846 7.631775 8.279951
124 4.007723 5.821118 7.626941 8.285765
125 4.016180 5.822141 7.635987 8.285765
126 4.012033 5.822312 7.630608 8.283747
127 4.012345 5.821615 7.632026 8.293800
128 4.016414 5.821592 7.632805 8.274102
129 4.020251 5.821353 7.635819 8.269757
130 4.013060 5.822125 7.630417 8.271548
131 4.015941 5.823400 7.643846 8.289539
132 4.015109 5.822282 7.638281 8.289539
133 4.014317 5.822235 7.640227 8.281471
134 4.005336 5.821014 7.621735 8.268219
135 4.018729 5.822885 7.636959 8.282483
136 4.015976 5.821763 7.634820 8.278174
137 4.013056 5.820082 7.636818 8.284757
138 4.016230 5.820374 7.637560 8.275376
139 4.011756 5.820926 7.639740 8.285009
140 4.013545 5.822393 7.637507 8.276649
141 4.016592 5.821308 7.640214 8.282230
142 4.016655 5.822578 7.643851 8.285009
143 4.014262 5.822721 7.639533 8.287528
144 4.009529 5.821184 7.629347 8.289539
145 4.006274 5.820236 7.623689 8.272315
146 4.008689 5.822332 7.633406 8.277158
147 4.006891 5.820755 7.633465 8.277666
148 4.007471 5.819625 7.630819 8.279190
149 4.009690 5.819860 7.642431 8.281471
150 4.012011 5.820525 7.640408 8.281977
151 4.012337 5.820020 7.639786 8.276395
152 4.010986 5.818844 7.636999 8.277920
153 4.010622 5.820742 7.647056 8.293550
154 4.007321 5.820194 7.639944 8.292298
155 4.002152 5.820853 7.632183 8.284757
156 4.011422 5.819818 7.638765 8.283999
157 4.009547 5.819209 7.635412 8.276649
158 4.013174 5.821260 7.643017 8.273337
159 4.013724 5.820401 7.646551 8.289288
160 4.010551 5.820093 7.637261 8.282736
161 4.013776 5.820218 7.638744 8.276903
162 4.006183 5.819379 7.637095 8.287025
163 4.002958 5.818443 7.634166 8.280711
164 4.003069 5.818947 7.637362 8.293800
165 4.003301 5.819066 7.634520 8.284757
166 4.008952 5.819698 7.644908 8.285513
167 4.010541 5.820941 7.642102 8.281218
168 4.010101 5.820244 7.642091 8.282483
169 4.008908 5.821062 7.645122 8.287277
170 4.006323 5.816715 7.645557 8.292549
171 4.007826 5.818842 7.640561 8.290293
172 3.996915 5.818521 7.634176 8.293800
173 3.999419 5.816526 7.632922 8.279697
174 3.998844 5.817013 7.629460 8.286017
175 4.008478 5.819665 7.648739 8.284504
176 4.004166 5.817492 7.641229 8.288283
