cid,cid_shuffled,cid_shuffled_std,cid_normalized,compression_gain,snapshot,nbins,n_particles_total,box_length,n_particles_filtered,atom_types,snapshot_num
0.0693754,0.100943,0.0,0.6872730154641729,0.31272698453582715,snapshot_1.xyz,32,4000,16.757672110741936,4000,all,1
0.0659365,0.0958756,0.0,0.6877297247683456,0.3122702752316544,snapshot_2.xyz,32,4000,16.757672110741936,4000,all,2
0.0662236,0.0967102,0.0,0.6847633445076113,0.31523665549238866,snapshot_3.xyz,32,4000,16.757672110741936,4000,all,3
0.06608,0.0967102,0.0,0.6832784959600953,0.31672150403990473,snapshot_4.xyz,32,4000,16.757672110741936,4000,all,4
0.0657929,0.0963626,0.0,0.6827638523659594,0.3172361476340406,snapshot_5.xyz,32,4000,16.757672110741936,4000,all,5
0.0663671,0.0962235,0.0,0.6897182081300306,0.3102817918699694,snapshot_6.xyz,32,4000,16.757672110741936,4000,all,6
0.065721,0.0965712,0.0,0.6805445101645211,0.3194554898354789,snapshot_7.xyz,32,4000,16.757672110741936,4000,all,7
0.0662954,0.0966407,0.0,0.6859987562176185,0.3140012437823815,snapshot_8.xyz,32,4000,16.757672110741936,4000,all,8
0.0667258,0.0958061,0.0,0.6964671351824153,0.3035328648175847,snapshot_9.xyz,32,4000,16.757672110741936,4000,all,9
0.0670127,0.0965016,0.0,0.694420610642725,0.305579389357275,snapshot_10.xyz,32,4000,16.757672110741936,4000,all,10
0.0664389,0.0969883,0.0,0.6850197394943514,0.31498026050564865,snapshot_11.xyz,32,4000,16.757672110741936,4000,all,11
0.0671561,0.0974747,0.0,0.6889592889231769,0.3110407110768231,snapshot_12.xyz,32,4000,16.757672110741936,4000,all,12
0.0668693,0.0973358,0.0,0.6869959459931495,0.3130040540068505,snapshot_13.xyz,32,4000,16.757672110741936,4000,all,13
0.0659365,0.0968493,0.0,0.6808154524606785,0.31918454753932146,snapshot_14.xyz,32,4000,16.757672110741936,4000,all,14
