cid,cid_shuffled,cid_shuffled_std,cid_normalized,compression_gain,snapshot,nbins,n_particles_total,box_length,n_particles_filtered,atom_types,snapshot_num
0.1335,0.154254,0.0,0.8654556770002723,0.13454432299972774,snapshot_1.xyz,32,13500,39.54709211164886,13500,all,1
0.129709,0.151983,0.0,0.8534441351993314,0.14655586480066862,snapshot_2.xyz,32,13500,40.324696509864154,13500,all,2
0.127335,0.150914,0.0,0.8437586970062421,0.15624130299375794,snapshot_3.xyz,32,13500,41.00605602428548,13500,all,3
0.125705,0.149107,0.0,0.8430523047207711,0.15694769527922892,snapshot_4.xyz,32,13500,41.57445565379255,13500,all,4
0.124821,0.149107,0.0,0.837123676286157,0.16287632371384297,snapshot_5.xyz,32,13500,42.03268240166034,13500,all,5
0.122916,0.147231,0.0,0.8348513560323573,0.16514864396764273,snapshot_6.xyz,32,13500,42.38551724858813,13500,all,6
0.123665,0.14703,0.0,0.8410868530231925,0.15891314697680747,snapshot_7.xyz,32,13500,42.64895284242495,13500,all,7
0.123937,0.147231,0.0,0.8417860369079881,0.15821396309201186,snapshot_8.xyz,32,13500,42.82860650712196,13500,all,8
0.122916,0.147366,0.0,0.8340865599934856,0.16591344000651442,snapshot_9.xyz,32,13500,42.924485952744895,13500,all,9
0.123392,0.14589,0.0,0.8457879224072933,0.15421207759270672,snapshot_10.xyz,32,13500,42.97045349058714,13500,all,10
0.123596,0.146159,0.0,0.8456270226260442,0.15437297737395583,snapshot_11.xyz,32,13500,42.99138022993266,13500,all,11
0.124073,0.145756,0.0,0.8512376848980489,0.14876231510195115,snapshot_12.xyz,32,13500,42.976293066918366,13500,all,12
0.123392,0.146561,0.0,0.8419156528680891,0.15808434713191089,snapshot_13.xyz,32,13500,42.99496246348059,13500,all,13
0.124005,0.146293,0.0,0.84764821283315,0.15235178716685005,snapshot_14.xyz,32,13500,43.04260096082755,13500,all,14
0.122984,0.145421,0.0,0.8457100418784083,0.15428995812159174,snapshot_15.xyz,32,13500,42.86017643701832,13500,all,15
0.123052,0.145421,0.0,0.8461776497204668,0.15382235027953317,snapshot_16.xyz,32,13500,43.07020241517756,13500,all,16
0.122848,0.145085,0.0,0.8467312265223834,0.15326877347761658,snapshot_17.xyz,32,13500,43.077378773763996,13500,all,17
0.123256,0.147902,0.0,0.8333626320130898,0.1666373679869102,snapshot_18.xyz,32,13500,42.88823166881862,13500,all,18
0.122575,0.147299,0.0,0.8321509310993285,0.16784906890067153,snapshot_19.xyz,32,13500,43.03606711132078,13500,all,19
0.123392,0.146561,0.0,0.8419156528680891,0.15808434713191089,snapshot_20.xyz,32,13500,42.981024882220254,13500,all,20
0.123596,0.147097,0.0,0.8402346750783496,0.1597653249216504,snapshot_21.xyz,32,13500,42.87102108031692,13500,all,21
0.123665,0.146829,0.0,0.8422382499370016,0.15776175006299842,snapshot_22.xyz,32,13500,43.118078014307976,13500,all,22
0.12312,0.14589,0.0,0.8439235040098705,0.15607649599012952,snapshot_23.xyz,32,13500,42.95133402040811,13500,all,23
0.123324,0.146494,0.0,0.8418365257280161,0.15816347427198385,snapshot_24.xyz,32,13500,42.88038031249585,13500,all,24
0.124277,0.146896,0.0,0.846020313691319,0.15397968630868097,snapshot_25.xyz,32,13500,43.14785951602504,13500,all,25
0.123324,0.147768,0.0,0.8345785285041416,0.1654214714958584,snapshot_26.xyz,32,13500,42.93150278726156,13500,all,26
0.124141,0.147969,0.0,0.8389662699619516,0.16103373003804844,snapshot_27.xyz,32,13500,42.85834716433201,13500,all,27
0.123733,0.147701,0.0,0.8377262171549278,0.1622737828450722,snapshot_28.xyz,32,13500,43.07040651902705,13500,all,28
0.123665,0.145756,0.0,0.8484384862372732,0.15156151376272675,snapshot_29.xyz,32,13500,42.95895097118421,13500,all,29
0.123801,0.146293,0.0,0.846253751033884,0.153746248966116,snapshot_30.xyz,32,13500,42.99973311559029,13500,all,30
0.123256,0.148304,0.0,0.831103678929766,0.168896321070234,snapshot_31.xyz,32,13500,43.113754144892965,13500,all,31
0.124277,0.147634,0.0,0.8417911863120962,0.15820881368790385,snapshot_32.xyz,32,13500,42.78957282488211,13500,all,32
0.124073,0.147231,0.0,0.8427097554183562,0.15729024458164376,snapshot_33.xyz,32,13500,42.91860759634896,13500,all,33
0.122984,0.146226,0.0,0.8410542584766048,0.15894574152339525,snapshot_34.xyz,32,13500,43.03333556971861,13500,all,34
0.122984,0.14522,0.0,0.8468805949593721,0.15311940504062793,snapshot_35.xyz,32,13500,42.98276886260987,13500,all,35
0.122575,0.145421,0.0,0.8428975182401441,0.15710248175985586,snapshot_36.xyz,32,13500,42.992798104200645,13500,all,36
0.123392,0.146628,0.0,0.8415309490683908,0.15846905093160923,snapshot_37.xyz,32,13500,43.02152984407011,13500,all,37
0.12312,0.146829,0.0,0.8385264491347078,0.16147355086529225,snapshot_38.xyz,32,13500,42.842065768657605,13500,all,38
0.123528,0.146762,0.0,0.8416892656137147,0.1583107343862853,snapshot_39.xyz,32,13500,42.8690041648961,13500,all,39
0.123869,0.147902,0.0,0.8375072683263242,0.16249273167367584,snapshot_40.xyz,32,13500,43.15415578607836,13500,all,40
0.12312,0.146695,0.0,0.8392924094209073,0.16070759057909267,snapshot_41.xyz,32,13500,42.96277073125488,13500,all,41
0.123188,0.146494,0.0,0.8409081600611629,0.15909183993883713,snapshot_42.xyz,32,13500,42.98490038654412,13500,all,42
0.123392,0.14522,0.0,0.84969012532709,0.15030987467291002,snapshot_43.xyz,32,13500,43.05289465750291,13500,all,43
0.124481,0.146695,0.0,0.8485701625822284,0.1514298374177716,snapshot_44.xyz,32,13500,42.87773970136768,13500,all,44
0.124005,0.145756,0.0,0.8507711517879196,0.14922884821208038,snapshot_45.xyz,32,13500,43.05621230754238,13500,all,45
0.122916,0.146427,0.0,0.8394353500379028,0.16056464996209718,snapshot_46.xyz,32,13500,43.07530699150036,13500,all,46
0.124141,0.148103,0.0,0.8382071936422624,0.16179280635773763,snapshot_47.xyz,32,13500,42.832688989199625,13500,all,47
0.123801,0.145823,0.0,0.8489812992463465,0.15101870075365353,snapshot_48.xyz,32,13500,42.94942072970983,13500,all,48
0.123733,0.147097,0.0,0.8411660332977559,0.15883396670224414,snapshot_49.xyz,32,13500,43.18586771222754,13500,all,49
0.124209,0.148371,0.0,0.8371514649089108,0.1628485350910892,snapshot_50.xyz,32,13500,42.92559406402212,13500,all,50
0.124209,0.147164,0.0,0.8440175586420593,0.1559824413579407,snapshot_51.xyz,32,13500,42.92498534577723,13500,all,51
0.123665,0.147164,0.0,0.8403210024190699,0.15967899758093007,snapshot_52.xyz,32,13500,43.064424746282654,13500,all,52
0.124549,0.147164,0.0,0.8463279062814276,0.15367209371857238,snapshot_53.xyz,32,13500,42.95343869865881,13500,all,53
0.12346,0.145756,0.0,0.8470320261258542,0.15296797387414585,snapshot_54.xyz,32,13500,42.90385626636764,13500,all,54
0.122439,0.145958,0.0,0.8388646048863372,0.16113539511366282,snapshot_55.xyz,32,13500,43.10875272438413,13500,all,55
0.123665,0.147299,0.0,0.8395508455590329,0.16044915444096708,snapshot_56.xyz,32,13500,42.856523115546736,13500,all,56
0.124073,0.146762,0.0,0.8454027609326665,0.15459723906733347,snapshot_57.xyz,32,13500,42.87677543415987,13500,all,57
0.123937,0.148906,0.0,0.83231703222167,0.16768296777833003,snapshot_58.xyz,32,13500,43.03951204445643,13500,all,58
0.123324,0.147164,0.0,0.8380038596395859,0.1619961403604141,snapshot_59.xyz,32,13500,42.980653887410064,13500,all,59
0.123256,0.14589,0.0,0.8448557132085819,0.15514428679141812,snapshot_60.xyz,32,13500,42.9489065936881,13500,all,60
0.123869,0.1475,0.0,0.8397898305084747,0.16021016949152533,snapshot_61.xyz,32,13500,42.98793817806381,13500,all,61
0.123256,0.146896,0.0,0.8390698181026033,0.16093018189739672,snapshot_62.xyz,32,13500,43.05904653019911,13500,all,62
0.124685,0.147567,0.0,0.8449382314474103,0.15506176855258968,snapshot_63.xyz,32,13500,42.94564073527841,13500,all,63
0.124073,0.146494,0.0,0.8469493631138476,0.1530506368861524,snapshot_64.xyz,32,13500,42.74897326504171,13500,all,64
0.123188,0.146561,0.0,0.8405237409679247,0.1594762590320753,snapshot_65.xyz,32,13500,43.06863199563563,13500,all,65
0.122848,0.146226,0.0,0.840124191320285,0.15987580867971496,snapshot_66.xyz,32,13500,42.96967568000237,13500,all,66
0.123937,0.146963,0.0,0.843321108033995,0.15667889196600504,snapshot_67.xyz,32,13500,42.990022585310356,13500,all,67
0.122916,0.145018,0.0,0.8475913334896357,0.15240866651036433,snapshot_68.xyz,32,13500,42.95955319580239,13500,all,68
0.123256,0.146025,0.0,0.844074644752611,0.15592535524738904,snapshot_69.xyz,32,13500,42.97250025650825,13500,all,69
0.12346,0.145823,0.0,0.8466428478360752,0.15335715216392476,snapshot_70.xyz,32,13500,43.10704769243477,13500,all,70
0.122507,0.146159,0.0,0.8381762327328457,0.1618237672671543,snapshot_71.xyz,32,13500,42.79724524016057,13500,all,71
0.122303,0.146427,0.0,0.8352489636474147,0.16475103635258526,snapshot_72.xyz,32,13500,42.923421273205015,13500,all,72
0.124277,0.146226,0.0,0.8498967351907322,0.15010326480926783,snapshot_73.xyz,32,13500,43.09351870347642,13500,all,73
0.124345,0.147567,0.0,0.8426341932816958,0.15736580671830425,snapshot_74.xyz,32,13500,42.95549629678257,13500,all,74
0.122916,0.147097,0.0,0.8356118751572091,0.16438812484279086,snapshot_75.xyz,32,13500,42.95041049637064,13500,all,75
0.122371,0.146896,0.0,0.8330451475874088,0.16695485241259123,snapshot_76.xyz,32,13500,43.074961724060735,13500,all,76
0.12312,0.14636,0.0,0.8412134462968024,0.1587865537031976,snapshot_77.xyz,32,13500,42.851391452317635,13500,all,77
0.124141,0.147567,0.0,0.8412517703822671,0.15874822961773294,snapshot_78.xyz,32,13500,42.88845162295138,13500,all,78
0.122779,0.147231,0.0,0.8339208454741189,0.16607915452588107,snapshot_79.xyz,32,13500,43.13077748760712,13500,all,79
0.123256,0.146628,0.0,0.8406034318138418,0.15939656818615822,snapshot_80.xyz,32,13500,42.897781934445405,13500,all,80
