cid,cid_shuffled,cid_shuffled_std,cid_normalized,compression_gain,snapshot,nbins,n_particles_total,box_length,n_particles_filtered,atom_types,snapshot_num
0.0931589,0.10212,0.0,0.9122493145319233,0.08775068546807674,snapshot_1.xyz,32,13500,39.552735405423675,6702,2,1
0.0909946,0.100112,0.0,0.9089280006392839,0.09107199936071608,snapshot_2.xyz,32,13500,40.326979289711794,6702,2,2
0.089036,0.0988634,0.0,0.9005961761379844,0.09940382386201563,snapshot_3.xyz,32,13500,41.000604052276735,6702,2,3
0.0874244,0.0982387,0.0,0.8899181279882572,0.1100818720117428,snapshot_4.xyz,32,13500,41.567583221115015,6702,2,4
0.0880553,0.0983082,0.0,0.8957065636437246,0.10429343635627542,snapshot_5.xyz,32,13500,42.02234479406878,6702,2,5
0.0861614,0.0966407,0.0,0.8915643202087733,0.1084356797912267,snapshot_6.xyz,32,13500,42.3962305771047,6702,2,6
0.0855996,0.0958061,0.0,0.8934671174382424,0.10653288256175764,snapshot_7.xyz,32,13500,42.653303666111206,6702,2,7
0.0859508,0.0958061,0.0,0.8971328547973457,0.10286714520265428,snapshot_8.xyz,32,13500,42.81312967120269,6702,2,8
0.0850374,0.0968493,0.0,0.8780383544331245,0.1219616455668755,snapshot_9.xyz,32,13500,42.90172082075253,6702,2,9
0.0841233,0.0935076,0.0,0.8996413125778012,0.10035868742219878,snapshot_10.xyz,32,13500,42.96667044679816,6702,2,10
0.0856698,0.0961539,0.0,0.8909654210593643,0.10903457894063573,snapshot_11.xyz,32,13500,42.990383329253724,6702,2,11
0.0855996,0.0961539,0.0,0.8902353414682087,0.10976465853179129,snapshot_12.xyz,32,13500,42.97731629332057,6702,2,12
0.086372,0.0971968,0.0,0.8886300783564891,0.1113699216435109,snapshot_13.xyz,32,13500,42.96861079375709,6702,2,13
0.0849672,0.0955973,0.0,0.8888033448643425,0.11119665513565746,snapshot_14.xyz,32,13500,43.07315829224663,6702,2,14
0.0848969,0.0951797,0.0,0.8919643579460745,0.10803564205392546,snapshot_15.xyz,32,13500,42.937034066673846,6702,2,15
0.086021,0.0962235,0.0,0.893970807547013,0.10602919245298703,snapshot_16.xyz,32,13500,42.82902815862002,6702,2,16
0.0856698,0.0962235,0.0,0.890320971488254,0.10967902851174605,snapshot_17.xyz,32,13500,43.16302949517973,6702,2,17
0.0865124,0.0956669,0.0,0.9043085957630069,0.09569140423699307,snapshot_18.xyz,32,13500,42.99519966180983,6702,2,18
0.0876348,0.0972663,0.0,0.9009780365861557,0.09902196341384428,snapshot_19.xyz,32,13500,42.922799861675585,6702,2,19
0.0861614,0.0962235,0.0,0.895429910572781,0.10457008942721902,snapshot_20.xyz,32,13500,43.04041345516488,6702,2,20
0.0854591,0.0952493,0.0,0.897214992656114,0.10278500734388596,snapshot_21.xyz,32,13500,42.95408943512043,6702,2,21
0.0857401,0.0956669,0.0,0.8962357931531177,0.10376420684688226,snapshot_22.xyz,32,13500,42.952293352359185,6702,2,22
0.084475,0.0953189,0.0,0.8862355734277252,0.11376442657227481,snapshot_23.xyz,32,13500,43.14358774260467,6702,2,23
0.0862316,0.0961539,0.0,0.8968081377874428,0.10319186221255716,snapshot_24.xyz,32,13500,43.036126320823215,6702,2,24
0.0853888,0.0953885,0.0,0.8951687048229084,0.10483129517709155,snapshot_25.xyz,32,13500,42.841222527265344,6702,2,25
0.0855996,0.0944833,0.0,0.9059759767069947,0.0940240232930053,snapshot_26.xyz,32,13500,43.000617154899686,6702,2,26
0.0854591,0.0950404,0.0,0.8991870825459488,0.10081291745405119,snapshot_27.xyz,32,13500,42.96502562978145,6702,2,27
0.0852483,0.0949708,0.0,0.8976264283337616,0.1023735716662384,snapshot_28.xyz,32,13500,42.954842728864456,6702,2,28
0.0865124,0.0965016,0.0,0.8964866903761181,0.10351330962388194,snapshot_29.xyz,32,13500,42.977645931244226,6702,2,29
0.086021,0.0969188,0.0,0.8875574192004028,0.11244258079959724,snapshot_30.xyz,32,13500,43.098721570591316,6702,2,30
