cid,cid_shuffled,cid_shuffled_std,cid_normalized,compression_gain,snapshot,nbins,n_particles_total,box_length,n_particles_filtered,atom_types,snapshot_num,shannon_entropy
0.421617,0.496952,0.0,0.8484058822582463,0.1515941177417537,snapshot_1.xyz,8,10000,40.0,10000,all,1,4.661964689905617
0.923335,0.973165,0.0,0.9487959390237012,0.0512040609762989,snapshot_2.xyz,8,10000,40.0,10000,all,2,6.132557197022646
0.976975,1.02433,0.0,0.9537697812228482,0.0462302187771518,snapshot_3.xyz,8,10000,40.0,10000,all,3,5.998063911255567
0.971259,1.00734,0.0,0.9641819048186312,0.0358180951813686,snapshot_4.xyz,8,10000,40.0,10000,all,4,5.956104158358411
0.976975,0.990284,0.0,0.9865604210509308,0.0134395789490692,snapshot_5.xyz,8,10000,40.0,10000,all,5,5.9624358900401875
0.982684,1.00166,0.0,0.9810554479563924,0.0189445520436075,snapshot_6.xyz,8,10000,40.0,10000,all,6,5.969537945033753
0.992182,1.00166,0.0,0.9905377074057066,0.0094622925942934,snapshot_7.xyz,8,10000,40.0,10000,all,7,5.9738962972893725
0.992182,1.03374,0.0,0.9597984019192446,0.0402015980807554,snapshot_8.xyz,8,10000,40.0,10000,all,8,5.977786578333371
0.990284,1.02621,0.0,0.9649915709260288,0.0350084290739711,snapshot_9.xyz,8,10000,40.0,10000,all,9,5.989149355871695
0.984585,1.02244,0.0,0.962975822542154,0.0370241774578459,snapshot_10.xyz,8,10000,40.0,10000,all,10,5.996525622660879
0.980781,1.01301,0.0,0.9681849142654072,0.0318150857345929,snapshot_11.xyz,8,10000,40.0,10000,all,11,6.005942233759131
0.984585,1.0149,0.0,0.9701300620750816,0.0298699379249185,snapshot_12.xyz,8,10000,40.0,10000,all,12,6.008461695128833
0.971259,1.00923,0.0,0.9623762670550816,0.0376237329449185,snapshot_13.xyz,8,10000,40.0,10000,all,13,6.009473919983319
0.984585,1.01867,0.0,0.966539703731336,0.0334602962686639,snapshot_14.xyz,8,10000,40.0,10000,all,14,6.019245732778076
0.994079,0.999766,0.0,0.9943116689305298,0.0056883310694701,snapshot_15.xyz,8,10000,40.0,10000,all,15,6.033126616599207
0.984585,1.01867,0.0,0.966539703731336,0.0334602962686639,snapshot_16.xyz,8,10000,40.0,10000,all,16,6.035788838169291
0.971259,1.01301,0.0,0.9587852044895904,0.0412147955104095,snapshot_17.xyz,8,10000,40.0,10000,all,17,6.034558156529017
0.978879,1.00923,0.0,0.9699265776879404,0.0300734223120596,snapshot_18.xyz,8,10000,40.0,10000,all,18,6.047531362227716
0.997871,1.00355,0.0,0.9943410891335758,0.0056589108664242,snapshot_19.xyz,8,10000,40.0,10000,all,19,6.055668750839745
0.986485,0.994079,0.0,0.9923607681079673,0.0076392318920328,snapshot_20.xyz,8,10000,40.0,10000,all,20,6.0519211666051795
0.995975,1.00734,0.0,0.9887178112653128,0.0112821887346872,snapshot_21.xyz,8,10000,40.0,10000,all,21,6.056226252693445
0.980781,1.01112,0.0,0.9699946593876098,0.0300053406123902,snapshot_22.xyz,8,10000,40.0,10000,all,22,6.062367638084503
0.984585,1.02244,0.0,0.962975822542154,0.0370241774578459,snapshot_23.xyz,8,10000,40.0,10000,all,23,6.06891713793388
0.980781,1.0149,0.0,0.9663819095477388,0.0336180904522611,snapshot_24.xyz,8,10000,40.0,10000,all,24,6.071079750619855
0.982684,0.999766,0.0,0.9829140018764392,0.0170859981235609,snapshot_25.xyz,8,10000,40.0,10000,all,25,6.072092730925153
0.980781,0.986485,0.0,0.9942178543008764,0.0057821456991236,snapshot_26.xyz,8,10000,40.0,10000,all,26,6.0690701150020505
0.994079,1.00166,0.0,0.9924315636044168,0.0075684363955832,snapshot_27.xyz,8,10000,40.0,10000,all,27,6.07157628752472
0.976975,0.980781,0.0,0.9961194191159902,0.0038805808840097,snapshot_28.xyz,8,10000,40.0,10000,all,28,6.081712283335289
0.988385,0.982684,0.0,1.0058014580475514,-0.0058014580475513,snapshot_29.xyz,8,10000,40.0,10000,all,29,6.082596684458506
