# RDF for snapshot_178.xyz, snapshot 178
# r	g(r)
0.049750 0.000000
0.149250 0.000000
0.248750 0.000000
0.348250 0.000000
0.447750 0.000000
0.547250 0.000000
0.646750 0.000000
0.746250 0.102791
0.845750 1.225105
0.945250 5.228882
1.044750 9.217183
1.144250 7.287921
1.243750 5.034756
1.343250 4.038364
1.442750 3.511092
1.542250 3.361943
1.641750 3.506448
1.741250 3.785944
1.840750 4.274030
1.940250 4.587049
2.039750 4.621870
2.139250 4.332609
2.238750 4.137051
2.338250 3.860840
2.437750 3.727832
2.537250 3.808511
2.636750 3.779751
2.736250 3.886960
2.835750 3.857672
2.935250 3.857803
3.034750 3.824853
3.134250 3.768547
3.233750 3.699389
3.333250 3.614054
3.432750 3.575064
3.532250 3.563573
3.631750 3.558188
3.731250 3.504879
3.830750 3.494422
3.930250 3.467485
4.029750 3.437298
4.129250 3.401304
4.228750 3.350910
4.328250 3.305340
4.427750 3.281385
4.527250 3.259693
4.626750 3.214250
4.726250 3.185494
4.825750 3.175567
4.925250 3.141709
5.024750 3.085891
5.124250 3.040175
5.223750 3.035554
5.323250 2.990980
5.422750 2.970323
5.522250 2.931976
5.621750 2.917386
5.721250 2.871424
5.820750 2.832558
5.920250 2.823200
6.019750 2.775335
6.119250 2.739793
6.218750 2.719400
6.318250 2.684183
6.417750 2.654988
6.517250 2.636035
6.616750 2.614979
6.716250 2.577687
6.815750 2.533723
6.915250 2.502120
7.014750 2.488740
7.114250 2.454089
7.213750 2.429503
7.313250 2.398061
7.412750 2.371197
7.512250 2.346523
7.611750 2.309876
7.711250 2.298282
7.810750 2.266784
7.910250 2.218435
8.009750 2.215290
8.109250 2.176428
8.208750 2.164300
8.308250 2.126967
8.407750 2.108062
8.507250 2.082675
8.606750 2.051316
8.706250 2.030621
8.805750 1.997379
8.905251 1.980837
9.004749 1.964295
9.104250 1.934551
9.203751 1.911100
9.303249 1.882148
9.402750 1.866898
9.502251 1.841935
9.601749 1.813792
9.701250 1.797277
9.800751 1.776301
9.900249 1.747664
9.999750 1.730611
10.099251 1.708353
10.198750 1.689938
10.298250 1.669499
10.397750 1.643997
10.497250 1.633978
10.596750 1.615243
10.696250 1.581964
10.795750 1.568038
10.895250 1.549260
10.994750 1.532704
11.094250 1.517509
11.193750 1.497139
11.293250 1.478855
11.392750 1.462298
11.492250 1.439568
11.591750 1.419670
11.691250 1.410703
11.790751 1.393256
11.890250 1.380774
11.989750 1.365346
12.089251 1.350091
12.188749 1.330613
12.288250 1.317449
12.387751 1.298256
12.487249 1.281169
12.586750 1.276162
12.686251 1.262601
12.785749 1.248716
12.885250 1.234115
12.984751 1.223310
13.084249 1.212416
13.183750 1.195707
13.283251 1.183841
13.382750 1.166071
13.482250 1.160402
13.581750 1.150072
13.681250 1.138859
13.780750 1.131094
13.880250 1.121839
13.979750 1.110947
14.079250 1.102537
14.178750 1.086577
14.278250 1.078196
14.377750 1.068006
14.477250 1.065033
14.576750 1.057580
14.676250 1.040971
14.775750 1.041486
14.875250 1.033732
14.974751 1.027030
15.074250 1.018299
15.173750 1.012992
15.273251 0.997984
15.372749 0.996729
15.472250 0.990342
15.571751 0.982372
15.671249 0.979113
15.770750 0.976513
15.870251 0.966790
15.969750 0.964641
16.069250 0.956740
16.168751 0.953585
16.268250 0.947604
16.367750 0.941237
16.467251 0.938454
16.566750 0.936054
16.666250 0.933072
16.765751 0.929130
16.865250 0.924503
16.964750 0.917653
17.064251 0.916598
17.163750 0.914100
17.263250 0.908532
17.362751 0.906237
17.462250 0.903797
17.561750 0.901009
17.661251 0.899340
17.760750 0.894818
17.860249 0.892735
17.959751 0.890880
18.059250 0.887565
18.158749 0.887832
18.258251 0.883494
18.357750 0.880778
18.457249 0.880141
18.556751 0.875684
18.656250 0.876679
18.755749 0.873532
18.855251 0.872081
18.954750 0.872069
19.054249 0.867903
19.153751 0.866613
19.253250 0.865362
19.352749 0.864273
19.452251 0.860091
19.551750 0.864014
19.651249 0.859758
19.750751 0.858254
19.850250 0.858707
