# snapshot_num shannon_8 shannon_16 shannon_32 shannon_64
1 4.661965 6.620857 8.280784 9.076739
2 6.132557 8.004114 9.034617 9.197397
3 5.998064 7.843310 8.986163 9.182178
4 5.956104 7.783857 8.952853 9.187281
5 5.962436 7.764615 8.938373 9.197225
6 5.969538 7.760259 8.923061 9.192795
7 5.973896 7.747729 8.910835 9.194710
8 5.977787 7.744316 8.920047 9.202098
9 5.989149 7.744877 8.915258 9.201881
10 5.996526 7.758985 8.917730 9.200484
11 6.005942 7.757372 8.922586 9.206664
12 6.008462 7.761459 8.913034 9.197535
13 6.009474 7.757208 8.911371 9.197332
14 6.019246 7.766953 8.914143 9.199722
15 6.033127 7.772980 8.916895 9.195054
16 6.035789 7.773372 8.914608 9.197145
17 6.034558 7.774883 8.912576 9.195749
18 6.047531 7.790911 8.910405 9.193976
19 6.055669 7.786507 8.915352 9.191502
20 6.051921 7.790637 8.920414 9.194328
21 6.056226 7.803634 8.910956 9.193147
22 6.062368 7.796179 8.918946 9.193858
23 6.068917 7.802840 8.919601 9.196014
24 6.071080 7.813494 8.922067 9.195421
25 6.072093 7.799169 8.922091 9.191635
26 6.069070 7.794168 8.918270 9.191227
27 6.071576 7.790709 8.915809 9.191118
28 6.081712 7.816481 8.921711 9.195421
29 6.082597 7.799572 8.921861 9.194531
30 6.076208 7.812333 8.930694 9.206185
31 6.084571 7.809360 8.925856 9.201578
32 6.089562 7.815231 8.923638 9.198322
33 6.089945 7.811109 8.922060 9.198151
34 6.092904 7.820602 8.921815 9.196116
35 6.093252 7.815129 8.917914 9.195531
36 6.102534 7.822880 8.921818 9.205366
37 6.102933 7.820292 8.930940 9.207204
38 6.092423 7.808214 8.926891 9.197293
39 6.092198 7.818099 8.926580 9.195421
40 6.093798 7.814276 8.921056 9.193452
41 6.098180 7.809016 8.921147 9.189320
42 6.107408 7.816138 8.914836 9.190961
43 6.114292 7.827576 8.929577 9.205806
44 6.108576 7.820637 8.921351 9.197473
45 6.108335 7.813468 8.911668 9.198890
46 6.109354 7.821443 8.922301 9.197512
47 6.105125 7.823729 8.919408 9.191031
48 6.107033 7.817132 8.922760 9.190435
49 6.100485 7.815219 8.925043 9.194101
50 6.108147 7.818892 8.931775 9.208715
51 6.110962 7.831737 8.928762 9.204113
52 6.114483 7.829295 8.929631 9.205443
53 6.116359 7.833891 8.935733 9.204136
54 6.115942 7.829088 8.931654 9.200460
55 6.111189 7.826889 8.924863 9.196834
56 6.118136 7.830586 8.921986 9.194671
57 6.117687 7.825952 8.925176 9.193225
58 6.117177 7.823919 8.923197 9.195765
59 6.120031 7.846073 8.927856 9.197434
60 6.115516 7.828889 8.926718 9.200181
61 6.115302 7.827268 8.921448 9.198734
62 6.105518 7.826047 8.920774 9.193405
63 6.107411 7.812341 8.918171 9.193389
64 6.110601 7.819938 8.920443 9.196452
65 6.113921 7.834688 8.927613 9.206548
66 6.114512 7.831162 8.925154 9.206509
67 6.125559 7.843982 8.930810 9.207436
68 6.115440 7.823447 8.926899 9.190129
69 6.113214 7.829303 8.922751 9.194859
70 6.126488 7.832640 8.914401 9.190827
71 6.128297 7.836458 8.922049 9.197309
72 6.131304 7.846498 8.937673 9.200546
73 6.123939 7.835674 8.932106 9.197083
74 6.125215 7.829967 8.928709 9.197067
75 6.126994 7.833485 8.920913 9.194507
76 6.135802 7.853173 8.928506 9.191870
77 6.138111 7.834913 8.914872 9.190074
78 6.136409 7.853219 8.924745 9.192450
79 6.138494 7.832746 8.925327 9.192802
80 6.142143 7.849563 8.930360 9.205552
81 6.135770 7.846089 8.937228 9.206741
82 6.128085 7.843576 8.926420 9.200320
83 6.136153 7.834800 8.921654 9.196943
84 6.143182 7.839520 8.926401 9.194414
85 6.136810 7.845455 8.922710 9.192732
86 6.135715 7.832349 8.910436 9.189744
87 6.133042 7.827292 8.919597 9.191721
88 6.135624 7.833644 8.928678 9.195359
89 6.142619 7.838307 8.932140 9.192129
90 6.136815 7.847427 8.922608 9.190938
91 6.136618 7.856992 8.928388 9.196475
92 6.135930 7.834787 8.919104 9.196381
93 6.135694 7.855463 8.928887 9.199310
94 6.139607 7.844109 8.913619 9.194750
95 6.143029 7.853673 8.926628 9.192779
96 6.134257 7.849424 8.931012 9.206170
97 6.141199 7.844572 8.934042 9.201454
98 6.142591 7.850599 8.922969 9.193139
99 6.141869 7.854175 8.916757 9.193561
100 6.143004 7.848980 8.923458 9.190984
101 6.141151 7.847877 8.927047 9.193906
102 6.154293 7.860213 8.931220 9.206540
103 6.140260 7.851183 8.931839 9.203849
104 6.143006 7.846958 8.930360 9.197052
105 6.145558 7.851577 8.934815 9.197628
106 6.129982 7.827618 8.930725 9.197940
107 6.136880 7.843939 8.921849 9.203207
108 6.150699 7.839908 8.928715 9.196171
109 6.145174 7.842217 8.919732 9.200258
110 6.138155 7.839666 8.923969 9.192043
111 6.144421 7.853020 8.927040 9.202664
112 6.134269 7.840626 8.916408 9.196943
113 6.143227 7.833460 8.921869 9.195375
114 6.135533 7.821790 8.919534 9.206069
115 6.138224 7.832741 8.914691 9.192732
116 6.141406 7.837403 8.933158 9.206888
117 6.141088 7.826421 8.923473 9.191431
118 6.141561 7.827738 8.917613 9.192841
119 6.148930 7.841693 8.933222 9.208646
120 6.141814 7.842989 8.935457 9.203849
121 6.132057 7.824634 8.920051 9.201454
122 6.127410 7.817178 8.900887 9.192818
123 6.127710 7.822775 8.931136 9.207544
124 6.138508 7.828139 8.928515 9.205459
125 6.128990 7.809735 8.912520 9.202742
126 6.107535 7.798223 8.905120 9.192599
127 6.117451 7.806307 8.909654 9.193327
128 6.118912 7.803189 8.916320 9.208723
129 6.128125 7.807515 8.909504 9.198579
130 6.118445 7.810129 8.913273 9.196288
131 6.132332 7.815466 8.922484 9.208708
132 6.128079 7.808884 8.906919 9.190592
133 6.121991 7.801332 8.914051 9.199675
134 6.102902 7.787522 8.909644 9.205335
135 6.110256 7.799321 8.914847 9.208823
136 6.115059 7.798990 8.914601 9.199349
137 6.118279 7.797746 8.911150 9.192959
138 6.097345 7.773449 8.914068 9.204786
139 6.099630 7.781178 8.908365 9.194883
140 6.094577 7.771066 8.903067 9.207420
141 6.104738 7.786113 8.910384 9.205358
142 6.103097 7.768605 8.890402 9.192591
143 6.102672 7.766779 8.899762 9.202695
144 6.083011 7.747012 8.904046 9.204848
145 6.085701 7.751973 8.902699 9.198454
146 6.096110 7.758221 8.898471 9.208539
147 6.077440 7.735883 8.901561 9.208330
148 6.073649 7.723964 8.904023 9.198088
149 6.055950 7.722177 8.893305 9.200942
150 6.070062 7.733344 8.895815 9.203183
151 6.055754 7.713677 8.894792 9.203199
152 6.036982 7.707414 8.887901 9.197847
153 6.044965 7.702407 8.890679 9.209963
154 6.029630 7.674552 8.882299 9.194093
155 5.993607 7.645937 8.874217 9.191933
156 5.987625 7.653226 8.879588 9.194195
157 5.936772 7.615426 8.861291 9.193382
158 5.902711 7.577149 8.851124 9.194336
159 5.869342 7.555832 8.859338 9.194968
160 5.835953 7.527941 8.850443 9.194313
161 5.805647 7.507278 8.846793 9.192889
162 5.757424 7.467613 8.837938 9.193585
163 5.702928 7.426853 8.834619 9.209601
164 5.648824 7.366757 8.814775 9.198532
165 5.599247 7.328878 8.801458 9.192403
166 5.539368 7.293660 8.805423 9.201183
167 5.488680 7.261495 8.797250 9.204322
168 5.442295 7.226993 8.782953 9.206896
169 5.347453 7.152924 8.758817 9.205289
170 5.319596 7.131683 8.754518 9.209902
171 5.294646 7.108830 8.741440 9.200010
172 5.253044 7.076117 8.738701 9.192584
173 5.205933 7.037014 8.723165 9.193178
174 5.172123 7.009731 8.708142 9.188606
175 5.137831 6.981366 8.707684 9.202773
176 5.107414 6.955317 8.687657 9.196912
177 5.086412 6.947749 8.689842 9.199038
178 5.069598 6.926741 8.668609 9.189321
179 5.048128 6.906536 8.662691 9.192544
180 5.022778 6.883970 8.657009 9.193968
181 5.013586 6.868366 8.646497 9.205691
182 4.982964 6.838914 8.623227 9.193867
183 4.975190 6.826247 8.622212 9.203920
184 4.948548 6.810210 8.607999 9.197177
185 4.950288 6.796208 8.604567 9.197964
186 4.931238 6.785148 8.589597 9.189015
187 4.917077 6.765511 8.582851 9.190444
188 4.906444 6.752973 8.567937 9.192341
189 4.891438 6.729649 8.551009 9.188095
190 4.868555 6.709890 8.541587 9.191769
191 4.847043 6.694367 8.531819 9.190569
192 4.830732 6.685420 8.518626 9.193092
193 4.808103 6.663457 8.510907 9.191832
194 4.796861 6.653985 8.506773 9.198470
195 4.781081 6.638863 8.491328 9.197154
196 4.772475 6.623904 8.482714 9.207135
197 4.757126 6.613001 8.475269 9.202611
198 4.745247 6.603888 8.465641 9.203014
