# RDF for density=1.7gcm3, timestep 341
# r	g(r)
0.044794 0.000000
0.134382 0.000000
0.223970 0.000000
0.313558 0.000000
0.403146 0.000000
0.492734 0.000000
0.582322 0.000000
0.671910 0.000000
0.761498 0.000000
0.851086 0.000000
0.940673 0.000000
1.030261 0.000000
1.119849 0.000000
1.209437 0.089337
1.299025 1.328949
1.388613 4.549217
1.478201 5.017147
1.567789 2.620447
1.657377 0.744194
1.746965 0.145617
1.836553 0.038753
1.926141 0.012684
2.015729 0.002574
2.105317 0.035390
2.194905 0.361419
2.284492 0.991879
2.374081 1.780285
2.463669 2.221759
2.553257 2.176881
2.642845 1.582626
2.732432 1.214421
2.822021 0.959294
2.911608 0.808650
3.001196 0.624088
3.090784 0.429695
3.180372 0.325697
3.269960 0.277287
3.359548 0.285861
3.449136 0.387248
3.538724 0.557472
3.628312 0.836536
3.717900 1.145129
3.807488 1.215600
3.897076 1.127302
3.986664 0.971260
4.076252 0.907644
4.165840 0.976895
4.255427 1.086076
4.345016 1.132046
4.434604 1.060980
4.524191 0.959849
4.613779 0.962491
4.703367 0.998977
4.792955 1.091052
4.882544 1.227311
4.972131 1.292625
5.061719 1.341578
5.151307 1.252748
5.240895 1.184018
5.330483 1.093202
5.420071 0.993640
5.509659 0.949527
5.599247 0.958089
5.688835 0.971287
5.778423 0.939056
5.868011 0.939159
5.957599 0.964160
6.047187 0.994014
6.136775 1.031292
6.226362 1.083582
6.315950 1.108372
6.405539 1.125643
6.495126 1.145003
6.584714 1.132635
6.674302 1.054653
6.763890 0.976719
6.853478 0.921739
6.943066 0.898864
7.032654 0.896837
7.122242 0.901215
7.211830 0.932358
7.301418 0.972982
7.391006 0.988699
7.480594 0.994027
7.570182 0.987893
7.659770 0.966071
7.749358 0.954141
7.838945 0.925739
7.928534 0.927726
8.018122 0.921994
8.107710 0.920599
8.197297 0.906878
8.286885 0.918903
8.376473 0.948989
8.466061 0.969006
8.555649 1.020247
8.645237 1.051760
8.734825 1.068062
8.824413 1.090669
8.914001 1.083548
9.003589 1.065244
9.093177 1.033288
9.182765 1.034556
9.272352 1.014858
9.361940 0.991696
9.451529 0.992422
9.541117 0.996219
9.630705 1.006976
9.720293 1.028858
9.809880 1.023837
9.899468 1.036713
9.989057 1.040318
10.078644 1.052600
10.168232 1.034982
10.257820 1.016586
10.347408 1.004820
10.436996 1.002201
10.526584 0.989970
10.616172 0.983495
10.705760 1.007257
10.795348 1.010933
10.884935 1.010835
10.974524 1.004550
11.064112 1.016543
11.153700 1.017347
11.243288 0.999759
11.332875 1.006808
11.422463 1.005942
11.512052 0.995006
11.601640 0.977600
11.691227 0.971180
11.780815 0.947904
11.870403 0.944726
11.959991 0.952522
12.049580 0.957209
12.139167 0.961397
12.228755 0.971893
12.318343 0.985960
12.407931 0.992719
12.497519 0.999192
12.587107 0.999002
12.676695 0.987351
12.766283 0.994980
12.855871 1.005693
12.945458 1.001799
13.035047 1.003803
13.124635 1.001376
13.214222 1.007621
13.303810 1.000497
13.393398 1.006867
13.482986 1.005496
13.572575 1.006460
13.662163 1.027490
13.751750 1.024758
13.841338 1.013287
13.930926 1.014279
14.020514 1.007297
14.110102 0.998586
14.199690 1.014164
14.289278 1.004020
14.378866 1.007153
14.468454 1.007274
14.558042 1.012373
14.647630 1.011384
14.737218 1.020151
14.826805 1.010294
14.916393 1.008663
15.005981 1.014538
15.095570 1.022386
15.185158 1.013769
15.274745 1.008512
15.364333 1.002012
15.453921 0.996104
15.543509 0.995519
15.633097 0.992196
15.722685 0.996779
15.812273 0.992656
15.901861 0.986905
15.991449 0.988899
16.081038 0.987112
16.170624 1.000358
16.260212 0.989173
16.349800 0.983901
16.439388 0.988472
16.528976 0.989011
16.618565 0.972495
16.708153 0.985235
16.797741 0.982217
16.887329 0.983684
16.976917 0.993223
17.066504 0.990876
17.156092 0.996635
17.245680 0.996861
17.335268 1.005555
17.424856 0.997359
17.514444 1.001243
17.604033 0.998108
17.693621 0.998850
17.783207 1.000697
17.872795 1.000402
